Strain (mm/mm) Run #5,Stress (MPa) Run #5,E(Run #5),Strain (mm/mm) Run #6,Stress (MPa) Run #6,E(Run #6 natural),Strain (mm/mm) Run #7,Stress (MPa) Run #7,E(Run #6 natural),Strain (mm/mm) Run #8,Stress (MPa) Run #8,,Strain (mm/mm) Run #9,Stress (MPa) Run #9,
0.005833333,40.7778094,6990.481611,0.027777778,236.6055759,8517.800733,0.013611111,25.45267529,1869.992471,0.011666667,87.44159815,7494.994127,0.0075,200.6530801,26753.74401
0.003055556,27.229263,8911.395163,0.023333333,127.1840744,5450.746044,0.012777778,9.492022834,742.853961,0.009444444,30.43769448,3222.81471,0.003888889,91.25911394,23466.6293
0.0075,50.37556839,6716.742452,0.029722222,324.4701187,10916.75166,0.014166667,42.6865673,3013.169456,0.013611111,146.0888179,10733.05601,0.013055556,296.233058,22690.19167
0.009166667,57.32221355,6253.332387,0.031666667,352.1234277,11119.68719,0.014722222,56.2351137,3819.743572,0.015277778,196.5172544,12862.94756,0.016111111,312.326982,19385.81268
0.011111111,64.87794303,5839.014873,0.033611111,361.0856684,10743.04468,0.015555556,76.19942165,4898.534249,0.016111111,242.9684694,15080.80155,0.019444444,322.295919,16575.21869
0.012222222,70.63175218,5778.961542,0.034722222,361.4304123,10409.19587,0.016388889,101.8911047,6217.084355,0.016111111,244.1877394,15156.48038,0.024166667,333.2197856,13788.40492
0.013333333,74.23779567,5567.834675,0.034722222,357.7175312,10302.2649,0.016666667,110.3488958,6620.933746,0.016388889,246.3355051,15030.64099,0.026666667,340.722647,12777.09926
0.000555556,6.415761547,11548.37078,0.0225,64.85150899,2882.289289,0.012222222,4.374833453,357.9409189,0.007777778,4.269097297,548.8839382,0.001111111,14.15763072,12741.86764
0.013333333,74.82044595, ,0.034722222,356.6844009,10272.51075,0.017777778,143.9410522,8096.684188,0.017222222,268.5797489,15594.95316,0.029444444,347.0326724,11786.01529
0.013888889,78.74479932,5669.625551,0.037777778,374.5273772,9913.959984,0.018333333,166.2921336,9070.480016,0.0175,283.0303569,16173.16325,0.0325,352.7600475,10854.15531
0.014444444,79.11597728,5477.259966,0.041111111,383.3034781,,0.019166667,182.3849563,9515.736849,0.018055556,297.1879876,16459.64239,0.035277778,357.4796249,10133.28071
0.014722222,78.53222559,5334.26438,0.044166667,391.0982154,,0.019444444,194.6877986,10012.51536,0.018611111,303.6312846,16314.51679,0.038611111,363.3127361,9409.53849
0.015555556,82.16470311,5282.016629,0.047222222,399.8743163,,0.019722222,203.2248918,10304.36071,0.019166667,313.2026096,16341.00572,0.04,363.0737284,9076.843209
0.016111111,83.62298093,5190.39192,0.0475,391.0982154,,0.02,220.4852178,11024.26089,0.020277778,324.0989407,15982.96146,0.040833333,358.6724609,8783.815369
0.017222222,86.40736637,5017.201918,0.0475,387.7840477,,0.020277778,222.9237579,10993.50039,0.021666667,331.124888,15282.68714,0.041388889,358.0094071,8649.891715
0.018055556,89.13778231,4936.86179,0.0475,386.4315061,,0.020555556,241.2711838,11737.51705,0.023611111,339.0000288,14357.64828,0.043888889,371.6901237,8468.888894
0.021388889,97.83458114,4574.084313,0.048055556,391.2568196,,0.022222222,269.3749729,12121.87378,0.028055556,354.9078132,12650.17948,0.045,378.3988625,8408.863611
0.019722222,92.13364007,4671.564848,0.0475,385.6362821,,0.021388889,262.6409015,12279.31487,0.025,345.0181783,13800.72713,0.043888889,363.4184723,8280.420888
0.020555556,95.28920347,4635.69098,0.0475,385.1064999,,0.021388889,262.0846852,12253.30996,0.026666667,350.6915839,13150.9344,0.043888889,360.4754826,8213.365427
