Displ (mm) Run #5,Tensile Force (N) Run #5,Displ (mm) Run #6,Tensile Force (N) Run #6,Displ (mm) Run #7,Tensile Force (N) Run #7,Displ (mm) Run #8,Tensile Force (N) Run #8,Displ (mm) Run #9,Tensile Force (N) Run #9
0,0,0,0,0,0,0,0,0,0
0.02,58.25,0.81,588.8,0.44,39.72,0.28,38.76,0.04,128.54
0.11,247.22,0.84,1154.73,0.46,86.18,0.34,276.35,0.14,828.56
0.21,370.23,1,2148.19,0.49,231.09,0.42,793.9,0.27,1821.77
0.27,457.37,1.07,2945.93,0.51,387.56,0.49,1326.37,0.47,2689.56
0.33,520.44,1.14,3197,0.53,510.57,0.55,1784.22,0.58,2835.68
0.4,589.04,1.21,3278.37,0.56,691.83,0.58,2205.96,0.7,2926.19
0.44,641.28,1.25,3281.5,0.59,925.09,0.58,2217.03,0.87,3025.37
0.48,674.02,1.25,3247.79,0.6,1001.88,0.59,2236.53,0.96,3093.49
0.48,679.31,1.25,3238.41,0.64,1306.87,0.62,2438.49,1.06,3150.78
0.5,714.94,1.36,3400.41,0.66,1509.8,0.63,2569.69,1.17,3202.78
0.52,718.31,1.48,3480.09,0.69,1655.91,0.65,2698.23,1.27,3245.63
0.53,713.01,1.59,3550.86,0.7,1767.61,0.67,2756.73,1.39,3298.59
0.56,745.99,1.7,3630.54,0.71,1845.12,0.69,2843.63,1.44,3296.42
0.58,759.23,1.71,3550.86,0.72,2001.83,0.73,2942.56,1.47,3256.46
0.62,784.51,1.71,3520.77,0.73,2023.97,0.78,3006.35,1.49,3250.44
0.65,809.3,1.71,3508.49,0.74,2190.55,0.85,3077.85,1.58,3374.65
0.71,836.5,1.71,3501.27,0.77,2384.57,0.9,3132.49,1.58,3299.55
0.74,865.15,1.71,3496.46,0.77,2379.52,0.96,3184,1.58,3272.83
0.77,888.26,1.73,3552.3,0.8,2445.71,1.01,3222.28,1.62,3435.56
0.81,907.03,1.81,3718.88,0.8,2561.5,1.02,3224.93,1.66,3429.06
0.85,927.49,1.84,3766.31,0.83,2663.57,1.07,3279.33,1.7,3462.28
0.88,942.42,1.92,3771.6,0.85,2745.89,1.12,3314.96,1.75,3472.15
0.89,957.1,1.98,3815.89,0.87,2819.07,1.13,3279.81,1.77,3410.52
0.93,970.34,2.06,3859.95,0.92,2861.68,1.16,3315.2,1.79,3432.91
0.96,987.19,2.15,3904.24,0.95,2891.29,1.2,3353.71,1.84,3537.14
1,989.84,2.21,3926.14,0.99,2924.75,1.22,3378.51,1.84,3406.19
1.02,1016.08,2.28,3983.19,1.02,2950.75,1.25,3398.97,1.84,3377.06
1.06,1024.75,2.39,4007.03,1.04,2955.08,1.28,3422.56,1.84,3362.14
1.1,1038.23,2.43,4027.25,1.07,2993.59,1.32,3440.13,1.93,3562.17
1.12,1056.04,2.45,3997.4,1.09,2979.63,1.34,3456.5,2.02,3565.3
1.16,1062.78,2.51,4030.62,1.11,3031.63,1.37,3476,2.12,3568.67
1.18,1074.81,2.61,4113.66,1.14,3054.01,1.41,3494.77,2.22,3596.36
1.22,1087.09,2.69,4154.59,1.15,3008.28,1.44,3503.92,2.3,3583.12
1.26,1091.91,2.77,4178.18,1.16,3031.87,1.46,3517.4,2.39,3670.5
1.29,1106.11,2.84,4199.6,1.23,3115.4,1.49,3539.07,2.49,3672.42
1.31,1116.46,2.92,4230.41,1.25,3081.94,1.51,3501.99,2.58,3697.46
1.35,1116.22,2.94,4197.68,1.28,3141.4,1.54,3540.99,2.63,3698.18
1.38,1131.38,3.02,4283.61,1.34,3185.45,1.58,3582.4,2.67,3753.55
1.4,1145.35,3.09,4294.45,1.37,3172.69,1.61,3578.06,2.67,3627.89
1.41,1122.48,3.19,4331.28,1.41,3240.33,1.63,3586.01,2.67,3593.71
1.45,1154.25,3.27,4325.98,1.45,3249.24,1.66,3604.06,2.7,3740.31
1.49,1156.18,3.34,4344.75,1.48,3285.35,1.69,3611.52,2.74,3789.9
1.52,1166.05,3.45,4387.12,1.51,3297.86,1.71,3615.37,2.75,3688.07
1.56,1188.19,3.54,4426.12,1.54,3303.88,1.73,3622.84,2.78,3769.19
1.6,1181.69,3.64,4435.99,1.57,3285.59,1.75,3635.11,2.83,3790.38
1.64,1191.08,3.75,4461.02,1.6,3289.68,1.78,3651.24,2.88,3790.62
1.67,1201.67,3.76,4318.04,1.64,3367.91,1.81,3655.09,2.96,3806.02
1.7,1219.97,3.79,4351.5,1.67,3408.84,1.83,3644.26,3.05,3815.17
1.74,1213.95,3.85,4451.63,1.71,3411.97,1.85,3665.93,3.11,3815.65
